horizon,arm,dataset,pixel_auc,pixel_ap,image_auc,image_ap
20,H,Brain,,,83.34471583366394,94.80587840080261
20,H,Colon_Kvasir,86.35812026139699,54.97098121728765,,
20,H,Colon_clinicDB,87.60193276410523,44.61119348059148,,
20,H,Colon_colonDB,86.76534765504985,33.57843768030291,,
20,H,Liver,,,66.50078296661377,57.54992961883545
20,H,Retina,,,79.28228378295898,76.95509195327759
20,A,Brain,,,81.60851001739502,94.34453845024109
20,A,Colon_Kvasir,85.81523290558405,52.85077042724192,,
20,A,Colon_clinicDB,87.94250777538447,47.11807949087052,,
20,A,Colon_colonDB,85.22673953227236,35.327939326538775,,
20,A,Liver,,,65.98520278930664,56.46783113479614
20,A,Retina,,,79.77050542831421,78.69012951850891
20,C,Brain,,,83.7456464767456,94.66018676757812
20,C,Colon_Kvasir,85.54327413664944,53.5735907441395,,
20,C,Colon_clinicDB,88.1111143264281,49.493638949084854,,
20,C,Colon_colonDB,83.97916705995858,29.62997125355437,,
20,C,Liver,,,64.77518081665039,56.10160827636719
20,C,Retina,,,80.889230966568,79.50552701950073
20,AC,Brain,,,86.99092864990234,96.10998034477234
20,AC,Colon_Kvasir,86.75899324004456,56.93843770462688,,
20,AC,Colon_clinicDB,89.46417148515324,53.82314979127166,,
20,AC,Colon_colonDB,83.58936034110998,35.19041469691409,,
20,AC,Liver,,,65.33368229866028,57.13207721710205
20,AC,Retina,,,76.71388983726501,75.8502721786499
